<<<<<<< HEAD
-1.051459950631206640e-02 9.483307386778494497e-03 -5.243876632041865639e-03
-3.151216941012884021e-02 2.848373652875198919e-02 -1.573290341916122950e-02
-5.246659440135270636e-02 4.754253436514162962e-02 -2.622570661427507319e-02
-7.338698815413989551e-02 6.666694991094709866e-02 -3.672479909605446541e-02
-7.530967785804436321e-02 8.094286331658734346e-02 -3.466768401063047289e-02
-5.825542169584657648e-02 9.031725737330664749e-02 -2.005386845441302704e-02
-4.119929974421528834e-02 9.968597417560250140e-02 -5.444863339527474151e-03
-2.413360403461285719e-02 1.090526380482174096e-01 9.162830513996769038e-03
-7.050600231104630841e-03 1.184208369747832557e-01 2.377271197452246118e-02
9.910227076884224433e-05 1.161437821580736524e-01 3.898363278683888294e-02
-2.728802271620014899e-03 1.022513070770534743e-01 5.479923628111594419e-02
-5.600778189821819554e-03 8.840387402090169044e-02 7.062795823787995642e-02
-8.517864874542714279e-03 7.459629233496878342e-02 8.647358991230037761e-02
-1.148115402603735666e-02 6.082339168607613783e-02 1.023399265826318155e-01
-1.734988393471771639e-02 5.293160604321622137e-02 1.122937153831956442e-01
-1.393177694704189357e-03 3.275336691520516850e-03 7.183824838633306141e-03
-2.666245766818668012e-02 5.080201393422078410e-02 1.165897213664016940e-01
-2.712529710352750215e-02 3.853420843643229343e-02 9.422263706835544428e-02
-3.945970046071801268e-02 3.931313535221452049e-02 1.187833375691960403e-01
-2.474166431043786293e-02 1.479791841841448900e-02 6.690531573723454417e-02
-4.613783770098105197e-02 2.275610540527799736e-02 1.029642687095431997e-01
-5.270136184627368520e-02 2.851515640999671003e-02 8.441389319570584415e-02
-5.928116515631868394e-02 2.276564967700761555e-02 6.944113961339948293e-02
-6.592728827117583235e-02 5.505536380329681054e-03 5.804242171804314954e-02
-7.381763330720490790e-02 -1.604080269356053003e-03 4.404947539755782460e-02
-9.076693745711286385e-03 9.242171287335795125e-06 3.971452053494163408e-03
-8.395101997539121397e-02 1.773570406376850060e-03 2.557009450735011832e-02
-9.307473824824549768e-02 4.839479004598462933e-03 8.985785715345211491e-03
-1.022301843621296474e-01 7.928285317902964563e-03 -7.596378235885215859e-03
-1.114213627557181230e-01 1.104134807164292888e-02 -2.418036915070805731e-02
-1.153521037344665268e-01 1.067530018016283992e-02 -4.038688217051494833e-02
